SalePrice,PropertyType,NbrLivingUnits,SqFtLot,SqFtTotLiving,SqFtFinBasement,Bathrooms,Bedrooms,BldgGrade,YrBuilt,TrafficNoise,ZipCode,NewConstruction,city,state
585000,Single Family,1,9594,2341,0,2.5,4,9,1997,0,98052,False,Redmond,Washington
705000,Single Family,1,9185,3540,1510,3.75,4,9,1996,0,98052,False,Redmond,Washington
697500,Single Family,1,9001,2470,0,2.5,3,9,1995,0,98052,False,Redmond,Washington
721500,Single Family,1,9012,2810,0,2.5,4,9,1996,0,98052,False,Redmond,Washington
695000,Single Family,1,9100,2590,0,2.5,4,9,1996,0,98052,False,Redmond,Washington
395000,Single Family,1,5420,2330,0,2.75,3,8,2003,1,98042,False,Kent,Washington
330000,Single Family,1,4500,1850,0,2.5,3,8,2004,0,98042,False,Kent,Washington
222300,Single Family,1,4500,1850,0,2.5,3,8,2004,0,98042,False,Kent,Washington
369950,Single Family,1,4800,1920,0,2.5,4,8,2004,0,98042,False,Kent,Washington
377000,Single Family,1,4597,1850,0,2.5,3,8,2003,0,98042,False,Kent,Washington
254000,Single Family,1,4597,1850,0,2.5,3,8,2003,0,98042,False,Kent,Washington
279950,Single Family,1,5085,920,0,1.0,3,7,1954,2,98108,False,Seattle,Washington
259000,Single Family,1,5635,1190,0,1.0,3,7,1922,1,98002,False,Auburn,Washington
212000,Single Family,1,4543,1290,0,1.0,3,7,1951,0,98002,False,Auburn,Washington
515000,Single Family,1,7800,2470,1000,2.25,4,8,1975,0,98052,False,Redmond,Washington
535000,Single Family,1,9030,2730,1260,2.5,5,8,1976,0,98052,False,Redmond,Washington
447500,Single Family,1,9800,1980,680,2.75,4,8,1976,0,98052,False,Redmond,Washington
343000,Single Family,1,9750,1470,0,1.75,3,7,1978,0,98052,False,Redmond,Washington
518000,Single Family,1,11000,2410,1040,2.5,4,7,1978,0,98052,False,Redmond,Washington
359000,Single Family,1,9200,1850,490,2.0,3,7,1977,0,98052,False,Redmond,Washington
625000,Single Family,1,7140,1690,0,1.75,3,8,1955,0,98040,False,Mercer Island,Washington
638000,Single Family,1,7140,1510,0,1.5,3,8,1955,0,98040,False,Mercer Island,Washington
705000,Single Family,1,8568,1500,0,1.5,3,8,1954,0,98040,False,Mercer Island,Washington
699500,Single Family,1,7821,3620,830,3.5,5,10,1958,0,98040,False,Mercer Island,Washington
1285000,Single Family,1,7821,3620,830,3.5,5,10,1958,0,98040,False,Mercer Island,Washington
830000,Single Family,1,8736,3060,1530,2.5,3,8,1956,0,98040,False,Mercer Island,Washington
350000,Single Family,1,4000,1240,620,2.0,3,6,1918,0,98136,False,Seattle,Washington
435000,Single Family,1,5320,1490,250,1.75,3,8,1962,0,98136,False,Seattle,Washington
700000,Single Family,1,5098,1790,980,2.5,3,9,2005,0,98136,True,Seattle,Washington
660000,Single Family,1,5098,1790,980,2.5,3,9,2005,0,98136,False,Seattle,Washington
539800,Single Family,1,5460,2230,800,3.25,3,8,1977,0,98136,False,Seattle,Washington
240000,Single Family,1,4320,760,0,1.0,2,6,1941,1,98136,False,Seattle,Washington
358950,Single Family,1,7980,2080,0,1.75,3,7,1937,0,98126,False,Seattle,Washington
289950,Single Family,1,5320,1180,0,1.75,3,7,1968,0,98126,False,Seattle,Washington
283000,Single Family,1,8631,1130,0,1.75,3,7,1955,0,98168,False,Seattle,Washington
357500,Single Family,1,8428,2130,0,2.5,5,7,2013,0,98168,True,Seattle,Washington
78000,Single Family,1,16344,780,0,1.0,2,5,1942,1,98168,False,Seattle,Washington
430450,Single Family,1,7288,1800,0,2.5,3,8,2007,1,98168,True,Seattle,Washington
289000,Single Family,1,7920,2100,1050,2.0,4,7,1967,1,98168,False,Seattle,Washington
235000,Single Family,1,19570,1400,300,1.0,2,6,1929,3,98168,False,Seattle,Washington
200000,Single Family,1,8140,700,0,1.0,1,6,1943,0,98168,False,Seattle,Washington
531000,Single Family,1,19350,5050,2500,3.75,5,9,1959,0,98188,False,Seattle,Washington
190000,Single Family,1,9000,880,0,1.0,2,5,1928,1,98188,False,Seattle,Washington
89000,Single Family,1,9000,880,0,1.0,2,5,1928,1,98188,False,Seattle,Washington
458000,Single Family,1,10498,2730,0,2.5,4,8,2002,0,98188,False,Seattle,Washington
225000,Single Family,1,9282,1500,0,1.0,5,6,1966,1,98168,False,Seattle,Washington
200000,Single Family,1,10080,1970,0,1.5,3,7,1966,0,98168,False,Seattle,Washington
271300,Single Family,1,9180,3670,0,4.25,6,10,2008,0,98168,False,Seattle,Washington
1713000,Single Family,1,26540,5000,1590,3.5,5,10,2008,0,98040,False,Mercer Island,Washington
1852000,Single Family,1,16240,5050,1200,3.25,4,11,1987,0,98040,False,Mercer Island,Washington
3650000,Single Family,1,16750,6210,0,5.5,5,11,2009,0,98040,False,Mercer Island,Washington
281000,Single Family,1,8040,2220,1110,1.75,4,7,1955,0,98146,False,Seattle,Washington
200000,Single Family,1,7201,1250,0,1.75,3,6,1983,1,98146,False,Seattle,Washington
399950,Single Family,1,8336,1420,310,1.5,3,7,1955,0,98146,False,Seattle,Washington
421000,Single Family,1,8285,2160,0,2.5,4,7,1963,0,98059,False,Renton,Washington
325775,Single Family,1,7984,1150,0,1.0,3,7,1961,0,98059,False,Renton,Washington
450000,Single Family,1,13042,2520,0,3.0,5,8,2003,0,98042,False,Kent,Washington
420000,Single Family,1,9520,2180,0,2.5,4,8,2004,0,98042,False,Kent,Washington
277000,Single Family,1,8408,1900,0,2.5,4,8,2004,0,98042,False,Kent,Washington
592000,Single Family,1,15295,3340,0,2.5,4,10,1990,0,98023,False,Federal Way,Washington
339950,Single Family,1,13125,2480,880,2.5,5,8,1977,0,98023,False,Federal Way,Washington
805000,Single Family,1,5875,2600,1000,2.75,3,8,1929,2,98116,False,Seattle,Washington
689975,Single Family,1,5000,1560,780,1.75,2,7,1936,2,98116,False,Seattle,Washington
619950,Single Family,1,5000,2880,1440,2.0,4,8,1941,2,98116,False,Seattle,Washington
695000,Single Family,1,3440,1830,220,1.5,3,8,1941,2,98116,False,Seattle,Washington
531000,Single Family,1,6000,2480,1240,1.75,5,7,1955,1,98116,False,Seattle,Washington
385000,Single Family,1,7045,1810,360,2.5,4,7,1988,0,98032,False,Kent,Washington
453000,Single Family,1,6300,1590,930,1.75,3,7,1925,0,98126,False,Seattle,Washington
391000,Single Family,1,6550,1850,0,2.0,3,7,1985,0,98126,False,Seattle,Washington
282000,Single Family,1,6550,1810,0,1.5,3,7,1950,0,98126,False,Seattle,Washington
230000,Single Family,1,6600,2210,790,2.5,4,8,1943,0,98136,False,Seattle,Washington
515000,Single Family,1,6500,1680,590,1.75,3,7,1944,0,98126,False,Seattle,Washington
425000,Single Family,1,6550,1810,770,1.5,3,7,1928,0,98126,False,Seattle,Washington
389950,Single Family,1,6550,1370,600,1.75,3,6,1914,0,98126,False,Seattle,Washington
375000,Single Family,1,6550,1370,600,1.75,3,6,1914,0,98126,False,Seattle,Washington
460000,Single Family,1,6550,1720,700,2.0,4,7,1975,0,98126,False,Seattle,Washington
290000,Single Family,1,6419,1080,300,1.0,2,6,1918,0,98126,False,Seattle,Washington
630000,Single Family,1,4109,2810,1060,3.0,4,8,1918,0,98103,False,Seattle,Washington
560000,Single Family,1,4109,2110,970,1.75,4,7,1924,0,98103,False,Seattle,Washington
575000,Single Family,1,4109,2110,970,1.75,4,7,1924,0,98103,False,Seattle,Washington
210000,Single Family,1,5040,1180,0,1.0,2,6,1942,2,98168,False,Seattle,Washington
125000,Single Family,1,9452,1100,0,1.75,3,6,1942,0,98146,False,Seattle,Washington
304000,Single Family,1,11475,1260,0,1.0,4,6,1942,0,98146,False,Seattle,Washington
185000,Single Family,1,10450,2930,840,2.5,7,7,1950,2,98055,False,Renton,Washington
257000,Single Family,1,18090,1370,0,1.0,3,6,1947,0,98055,False,Renton,Washington
320000,Single Family,1,7800,1980,0,2.5,3,8,1999,0,98055,False,Renton,Washington
359950,Single Family,1,7800,1980,0,2.5,3,8,1999,0,98055,False,Renton,Washington
389950,Single Family,1,29800,1270,0,0.75,2,6,1949,0,98055,False,Renton,Washington
289950,Single Family,1,8500,1320,0,1.5,3,7,2003,1,98055,False,Renton,Washington
530000,Single Family,1,4761,1530,300,1.5,3,7,1925,0,98103,False,Seattle,Washington
520000,Single Family,1,4000,1590,0,1.0,4,7,1907,1,98122,False,Seattle,Washington
880000,Single Family,1,6000,2280,930,2.5,4,8,1980,1,98122,False,Seattle,Washington
865000,Single Family,1,4000,3080,1020,2.5,5,8,1925,0,98122,False,Seattle,Washington
1020000,Single Family,1,12946,5210,0,3.25,4,11,2002,1,98075,False,Sammamish,Washington
1140000,Single Family,1,17584,4610,0,4.0,5,11,2004,0,98075,False,Sammamish,Washington
1274500,Single Family,1,22093,4930,0,4.0,4,12,2004,0,98075,False,Sammamish,Washington
1484402,Single Family,1,17771,4960,0,4.0,4,12,2006,0,98075,True,Sammamish,Washington
1645000,Single Family,1,15400,5240,0,4.25,5,12,2007,0,98075,True,Sammamish,Washington
1500000,Single Family,1,14942,4950,0,4.25,5,11,2006,0,98075,True,Sammamish,Washington
840000,Single Family,1,14205,4630,0,3.5,4,11,2003,0,98075,False,Sammamish,Washington
958000,Single Family,1,15151,3550,0,3.75,4,11,2004,0,98075,False,Sammamish,Washington
705000,Single Family,1,15151,3550,0,3.75,4,11,2004,0,98075,False,Sammamish,Washington
1095000,Single Family,1,19098,4540,0,3.5,5,11,2003,0,98075,False,Sammamish,Washington
1200000,Single Family,1,16531,5210,0,3.25,4,11,2002,0,98075,False,Sammamish,Washington
865800,Single Family,1,16271,4460,0,3.5,4,11,2001,0,98075,False,Sammamish,Washington
1150000,Single Family,1,17679,4220,0,4.25,4,11,2001,0,98075,False,Sammamish,Washington
1455000,Single Family,1,15783,4840,0,3.5,4,11,2006,0,98075,True,Sammamish,Washington
1050000,Single Family,1,15644,4160,0,4.5,4,11,2004,0,98075,False,Sammamish,Washington
1110000,Single Family,1,15709,4330,0,3.5,4,11,2005,0,98075,False,Sammamish,Washington
1346950,Single Family,1,14479,4630,0,4.5,4,11,2005,0,98075,True,Sammamish,Washington
1225950,Single Family,1,14837,3950,0,3.5,4,11,2006,0,98075,True,Sammamish,Washington
949950,Single Family,1,7338,3720,0,4.25,5,10,2004,0,98075,True,Sammamish,Washington
647500,Single Family,1,7845,3550,0,3.5,4,10,2004,0,98075,False,Sammamish,Washington
700250,Single Family,1,7121,3150,0,2.5,4,10,2005,0,98075,False,Sammamish,Washington
669000,Single Family,1,8938,3210,0,2.5,4,10,2005,0,98075,False,Sammamish,Washington
709950,Single Family,1,7331,3230,0,2.5,4,10,2004,0,98075,False,Sammamish,Washington
866750,Single Family,1,8030,3320,0,3.75,4,10,2005,0,98075,True,Sammamish,Washington
885000,Single Family,1,8727,4070,0,3.5,4,10,2005,0,98075,True,Sammamish,Washington
675000,Single Family,1,6998,3740,0,3.5,4,10,2005,0,98075,False,Sammamish,Washington
842950,Single Family,1,7380,3190,0,4.25,5,10,2005,0,98075,True,Sammamish,Washington
869950,Single Family,1,7422,3280,0,3.25,4,10,2005,0,98075,True,Sammamish,Washington
974413,Single Family,1,9379,5090,1470,4.5,6,10,2005,0,98075,False,Sammamish,Washington
745950,Single Family,1,9924,3100,0,2.75,4,10,2006,0,98075,True,Sammamish,Washington
800000,Single Family,1,8448,3280,0,4.0,4,10,2007,0,98075,True,Sammamish,Washington
790000,Single Family,1,12297,3510,0,3.5,4,10,2008,0,98075,True,Sammamish,Washington
710000,Single Family,1,12297,3510,0,3.5,4,10,2008,0,98075,False,Sammamish,Washington
875000,Single Family,1,9473,3500,0,3.5,3,10,2008,0,98075,True,Sammamish,Washington
760331,Single Family,1,6565,3490,0,3.25,4,10,2005,0,98075,True,Sammamish,Washington
869950,Single Family,1,11736,4100,0,3.5,4,10,2006,0,98075,False,Sammamish,Washington
829950,Single Family,1,9750,3550,0,3.75,4,10,2005,0,98075,False,Sammamish,Washington
792656,Single Family,1,10145,3780,0,2.5,4,10,2006,0,98075,True,Sammamish,Washington
750000,Single Family,1,12364,3150,0,2.5,4,10,2006,0,98075,True,Sammamish,Washington
819950,Single Family,1,7339,3480,0,2.5,4,10,2006,0,98075,True,Sammamish,Washington
895000,Single Family,1,8074,4100,0,3.75,5,10,2006,0,98075,False,Sammamish,Washington
758125,Single Family,1,8074,4100,0,3.75,5,10,2006,0,98075,False,Sammamish,Washington
909950,Single Family,1,8860,4100,0,3.5,4,10,2006,0,98075,True,Sammamish,Washington
850915,Single Family,1,10365,4070,0,3.5,4,10,2006,0,98075,False,Sammamish,Washington
879950,Single Family,1,6098,3560,0,3.5,4,10,2006,0,98075,True,Sammamish,Washington
965950,Single Family,1,6635,3480,0,3.5,4,10,2006,0,98075,True,Sammamish,Washington
832475,Single Family,1,8629,3730,0,3.0,4,10,2006,0,98075,True,Sammamish,Washington
781123,Single Family,1,6866,3200,0,2.75,5,10,2007,0,98075,True,Sammamish,Washington
610000,Single Family,1,6866,3200,0,2.75,5,10,2007,0,98075,False,Sammamish,Washington
825000,Single Family,1,7024,3490,0,3.25,4,10,2006,0,98075,True,Sammamish,Washington
822950,Single Family,1,8131,3830,0,3.75,5,10,2005,0,98075,True,Sammamish,Washington
799950,Single Family,1,7208,3880,0,2.5,4,10,2006,1,98075,True,Sammamish,Washington
742000,Single Family,1,7208,3880,0,2.5,4,10,2006,1,98075,False,Sammamish,Washington
790000,Single Family,1,7180,3490,0,3.25,4,10,2006,1,98075,True,Sammamish,Washington
769950,Single Family,1,6713,3200,0,2.75,5,10,2006,1,98075,True,Sammamish,Washington
350000,Single Family,1,8463,1990,0,2.25,4,7,1996,0,98003,False,Federal Way,Washington
360000,Single Family,1,7813,2960,920,3.5,5,7,1996,0,98003,False,Federal Way,Washington
216900,Single Family,1,7500,970,0,1.0,3,7,1969,0,98023,False,Federal Way,Washington
240000,Single Family,1,7504,1230,0,2.0,4,6,1970,0,98023,False,Federal Way,Washington
335000,Single Family,1,8908,1220,170,1.75,3,7,1976,0,98023,False,Federal Way,Washington
240000,Single Family,1,7440,1820,780,2.5,4,7,1975,0,98023,False,Federal Way,Washington
293000,Single Family,1,7480,1470,420,2.5,3,7,1977,0,98023,False,Federal Way,Washington
187000,Single Family,1,7840,1750,0,1.75,4,7,1977,0,98023,False,Federal Way,Washington
945000,Single Family,1,8410,2870,1090,2.5,3,10,1998,0,98115,False,Seattle,Washington
580000,Single Family,1,5500,2070,940,1.75,3,7,1946,0,98115,False,Seattle,Washington
305000,Single Family,1,7748,1590,0,2.25,3,7,1991,0,98003,False,Federal Way,Washington
307000,Single Family,1,7350,2040,0,2.5,3,7,1990,0,98003,False,Federal Way,Washington
225000,Single Family,1,7350,2040,0,2.5,3,7,1990,0,98003,False,Federal Way,Washington
300000,Single Family,1,7606,1660,0,2.25,3,7,1989,0,98003,False,Federal Way,Washington
200000,Single Family,1,7208,1620,0,1.75,3,7,1981,0,98023,False,Federal Way,Washington
220000,Single Family,1,7334,1660,530,2.75,4,7,1983,0,98023,False,Federal Way,Washington
320000,Single Family,1,7854,1500,0,2.0,4,7,1983,0,98023,False,Federal Way,Washington
252500,Single Family,1,7210,1540,0,2.0,3,7,1984,0,98023,False,Federal Way,Washington
328000,Single Family,1,7210,1750,0,2.5,3,7,1985,0,98023,False,Federal Way,Washington
284950,Single Family,1,7224,1730,0,2.75,3,7,1985,0,98023,False,Federal Way,Washington
265000,Single Family,1,6974,1140,0,1.75,3,7,1986,0,98023,False,Federal Way,Washington
286498,Single Family,1,6000,1230,0,1.75,3,7,1987,0,98023,False,Federal Way,Washington
304720,Single Family,1,5995,1700,0,2.25,3,7,1986,0,98023,False,Federal Way,Washington
298000,Single Family,1,5999,1430,0,2.25,3,7,1987,0,98023,False,Federal Way,Washington
267800,Single Family,1,7077,1260,0,2.0,3,7,1988,0,98023,False,Federal Way,Washington
314950,Single Family,1,6650,1610,0,2.0,4,7,1989,0,98023,False,Federal Way,Washington
235000,Single Family,1,6671,1990,0,2.5,4,7,1989,0,98023,False,Federal Way,Washington
400950,Single Family,1,7802,2330,0,2.75,4,8,1992,0,98023,False,Federal Way,Washington
365000,Single Family,1,6866,1890,0,2.25,4,8,1992,0,98023,False,Federal Way,Washington
351000,Single Family,1,8168,860,0,1.0,2,6,1948,0,98177,False,Seattle,Washington
415000,Single Family,1,8168,1200,0,2.0,3,6,1948,0,98177,False,Seattle,Washington
389000,Single Family,1,8168,1200,0,2.0,3,6,1948,0,98177,False,Seattle,Washington
400000,Single Family,1,8395,1300,0,1.75,3,6,1948,0,98177,False,Seattle,Washington
325000,Single Family,1,8391,850,0,1.0,2,6,1948,0,98177,False,Seattle,Washington
405000,Single Family,1,8053,1410,0,1.0,3,7,1951,0,98177,False,Seattle,Washington
300000,Townhouse,1,1654,1340,0,1.5,2,8,2009,0,98177,False,Seattle,Washington
375000,Townhouse,1,2900,1820,0,3.5,4,8,2009,0,98177,True,Seattle,Washington
310000,Townhouse,1,2290,1290,0,2.5,3,8,2005,2,98177,False,Seattle,Washington
399000,Townhouse,1,1975,1440,0,2.5,3,8,2006,2,98177,True,Seattle,Washington
307450,Single Family,1,7272,1830,440,1.75,3,8,1979,0,98023,False,Federal Way,Washington
319950,Single Family,1,7000,2240,600,2.25,3,8,1981,0,98023,False,Federal Way,Washington
245000,Single Family,1,3900,1480,0,1.75,3,7,1980,0,98023,False,Federal Way,Washington
297000,Single Family,1,6800,1490,360,2.5,3,7,1987,0,98023,False,Federal Way,Washington
329950,Single Family,1,5950,1940,460,1.75,3,8,1979,0,98023,False,Federal Way,Washington
315000,Single Family,1,7500,2010,680,2.75,3,8,1983,0,98023,False,Federal Way,Washington
299950,Single Family,1,6930,1910,440,2.5,3,7,1981,0,98023,False,Federal Way,Washington
329500,Single Family,1,9904,1570,600,2.25,2,7,1983,1,98031,False,Kent,Washington
73000,Single Family,1,7201,2120,860,2.5,5,7,2012,0,98168,False,Seattle,Washington
73000,Single Family,1,7561,2110,820,2.5,5,7,2012,0,98168,False,Seattle,Washington
229950,Single Family,1,10101,1400,700,2.0,4,6,1942,0,98168,False,Seattle,Washington
146000,Single Family,1,9750,780,0,1.0,2,6,1937,1,98168,False,Seattle,Washington
380950,Single Family,1,5031,1620,0,2.5,3,7,2000,0,98019,False,Duvall,Washington
335000,Single Family,1,5992,1620,0,2.5,3,7,2001,0,98019,False,Duvall,Washington
419950,Single Family,1,4643,1980,0,2.25,3,7,2001,0,98019,False,Duvall,Washington
380000,Single Family,1,4643,1980,0,2.25,3,7,2001,0,98019,False,Duvall,Washington
375000,Single Family,1,4354,1960,0,2.25,3,7,2000,0,98019,False,Duvall,Washington
359950,Single Family,1,3577,1510,0,2.25,3,7,2000,0,98019,False,Duvall,Washington
497500,Single Family,1,33300,920,0,1.0,2,7,1946,0,98028,False,Kenmore,Washington
480000,Single Family,1,7727,2680,0,2.5,3,9,2007,0,98028,True,Kenmore,Washington
400000,Single Family,1,5267,2570,0,2.5,4,9,2007,0,98028,False,Kenmore,Washington
355950,Single Family,1,9584,1410,0,1.0,3,7,1951,0,98028,False,Kenmore,Washington
600000,Multiplex,3,44083,3930,1720,4.5,7,10,1992,0,98028,False,Kenmore,Washington
390000,Single Family,1,8456,1560,0,1.75,3,7,1970,0,98028,False,Kenmore,Washington
445000,Single Family,1,21370,2800,0,2.5,4,8,2003,0,98028,False,Kenmore,Washington
308950,Single Family,1,10296,1090,0,1.0,3,6,1950,0,98028,False,Kenmore,Washington
310000,Single Family,1,13167,1210,0,1.0,2,6,1949,0,98028,False,Kenmore,Washington
302000,Single Family,1,15000,1040,0,0.75,3,6,1941,1,98028,False,Kenmore,Washington
250000,Single Family,1,9848,1170,0,1.5,3,7,1963,1,98028,False,Kenmore,Washington
225000,Single Family,1,9695,1360,300,1.75,3,7,1969,0,98023,False,Federal Way,Washington
585000,Single Family,1,3565,1960,0,4.25,4,7,1940,0,98116,False,Seattle,Washington
655000,Single Family,1,5750,2160,1080,1.75,3,7,1909,0,98116,False,Seattle,Washington
635000,Single Family,1,5750,2160,1080,1.75,3,7,1909,0,98116,False,Seattle,Washington
799000,Single Family,1,435191,2880,1200,3.0,4,9,1965,0,98092,False,Auburn,Washington
280000,Single Family,1,58411,1200,0,1.75,3,7,1978,0,98070,False,Vashon,Washington
449950,Single Family,1,18910,2750,1100,2.5,5,8,1967,0,98023,False,Federal Way,Washington
255000,Single Family,1,43560,1200,0,1.0,4,6,1968,0,98042,False,Kent,Washington
357000,Single Family,1,35245,2500,920,2.75,3,7,2000,0,98042,False,Kent,Washington
420000,Single Family,1,5000,910,0,1.0,2,7,1924,0,98107,False,Seattle,Washington
468000,Single Family,1,5000,1190,0,2.0,2,7,1915,0,98107,False,Seattle,Washington
168000,Single Family,1,4000,660,0,1.0,2,5,1935,0,98106,False,Seattle,Washington
320000,Single Family,1,4196,1260,600,1.0,3,7,1942,1,98146,False,Seattle,Washington
275000,Single Family,1,6800,1200,0,1.75,3,7,1990,0,98106,False,Seattle,Washington
317000,Single Family,1,29228,1240,0,1.0,2,6,1939,2,98106,False,Seattle,Washington
148000,Single Family,1,8261,620,0,1.0,2,5,1939,0,98106,False,Seattle,Washington
324950,Single Family,1,13700,970,0,1.0,2,7,1949,0,98106,False,Seattle,Washington
224950,Single Family,1,7874,840,0,1.0,2,6,1956,0,98146,False,Seattle,Washington
325000,Single Family,1,7200,1300,0,1.0,3,7,1952,0,98146,False,Seattle,Washington
395000,Single Family,1,14000,2110,820,2.0,5,6,1944,0,98146,False,Seattle,Washington
310000,Single Family,1,10000,1570,0,2.0,5,6,1953,0,98146,False,Seattle,Washington
379000,Single Family,1,8803,2620,0,2.75,5,8,2008,0,98146,False,Seattle,Washington
399950,Single Family,1,21534,1310,0,1.5,3,7,1961,0,98146,False,Seattle,Washington
102500,Single Family,1,4320,2280,890,2.5,4,7,2015,0,98106,False,Seattle,Washington
390000,Single Family,1,220414,2190,860,2.25,3,7,1976,0,98059,False,Renton,Washington
550000,Single Family,1,51836,2600,800,2.5,4,8,1987,0,98059,False,Renton,Washington
401500,Single Family,1,43560,2500,1200,2.75,4,8,1977,0,98059,False,Renton,Washington
625000,Single Family,1,13187,1800,0,2.5,3,9,1975,0,98008,False,Bellevue,Washington
1350000,Single Family,1,9411,3370,0,2.25,4,10,1988,0,98075,False,Sammamish,Washington
480000,Single Family,1,2726,1230,350,1.0,2,7,1920,0,98117,False,Seattle,Washington
432000,Single Family,1,3680,1550,500,1.75,3,7,1927,1,98117,False,Seattle,Washington
525500,Single Family,1,3750,1420,0,1.0,3,7,1927,0,98117,False,Seattle,Washington
469922,Single Family,1,4000,1240,0,1.0,3,7,1930,0,98117,False,Seattle,Washington
1692000,Single Family,1,963702,5150,790,3.75,4,11,1997,0,98053,False,Redmond,Washington
579500,Single Family,1,8212,4700,1580,4.75,7,8,1980,0,98177,False,Seattle,Washington
345000,Single Family,1,9800,2130,600,2.5,4,7,1959,0,98177,False,Seattle,Washington
385000,Single Family,1,11367,1840,0,1.5,4,7,1950,0,98177,False,Seattle,Washington
415000,Single Family,1,10911,2060,700,1.75,5,7,1954,0,98177,False,Seattle,Washington
399900,Single Family,1,10200,2020,480,1.0,5,8,1959,1,98133,False,Seattle,Washington
280000,Single Family,1,9306,860,0,1.0,2,6,1942,0,98177,False,Seattle,Washington
370000,Single Family,1,9004,2100,250,3.0,4,7,1903,0,98177,False,Seattle,Washington
351500,Single Family,1,8800,1830,440,2.25,3,8,1991,0,98177,False,Seattle,Washington
450000,Single Family,1,30964,1170,0,1.0,3,7,1946,0,98028,False,Kenmore,Washington
395000,Single Family,1,27468,1830,0,1.75,3,7,1954,1,98028,False,Kenmore,Washington
899950,Single Family,1,31500,2510,510,2.75,4,8,1930,0,98028,False,Kenmore,Washington
360000,Single Family,1,14928,2300,840,2.75,4,7,1978,0,98028,False,Kenmore,Washington
393000,Single Family,1,10400,1720,420,2.5,3,8,1992,1,98028,False,Kenmore,Washington
378000,Single Family,1,10731,1530,0,1.75,3,7,1986,0,98028,False,Kenmore,Washington
485000,Single Family,1,45738,1880,470,1.75,3,8,1980,0,98072,False,Woodinville,Washington
680000,Single Family,1,52648,2450,480,3.0,4,8,1999,0,98077,False,Woodinville,Washington
355000,Single Family,1,6500,1130,0,1.0,3,6,1948,1,98133,False,Seattle,Washington
290000,Single Family,1,4500,2180,810,2.75,4,7,2004,0,98001,False,Auburn,Washington
295000,Single Family,1,4774,1570,0,2.5,3,7,2003,0,98001,False,Auburn,Washington
230000,Single Family,1,5000,2020,0,2.5,4,7,2003,0,98001,False,Auburn,Washington
297000,Single Family,1,8000,1110,0,2.0,2,7,1937,0,98168,False,Seattle,Washington
